timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1782664837651,318,Login Request,200,OK,Shopping 4-13,text,true,,2812,292,4,8,https://dummyjson.com/auth/login,318,0,0
1782664837900,100,Products Request,200,OK,Products 2-19,text,true,,45098,181,2,8,https://dummyjson.com/products,85,0,0
1782664837701,320,Cart Request,201,Created,Shopping 4-14,text,true,,1311,310,4,8,https://dummyjson.com/carts/add,320,0,0
1782664837715,312,Checkout Request,200,OK,Shopping 4-12,text,true,,2028,218,4,8,https://dummyjson.com/carts/user/1,312,0,0
1782664837969,95,Products Request,200,OK,Shopping 4-13,text,true,,45102,565,3,7,https://dummyjson.com/products,80,0,0
1782664837961,136,Login Request,200,OK,Login Users 1-19,text,true,,5249,259,2,7,https://quickpizza.grafana.com/login,136,0,0
1782664838000,101,Products Request,200,OK,Products 2-19,text,true,,45100,181,2,7,https://dummyjson.com/products,85,0,0
1782664837933,261,Products Request,200,OK,Products 2-20,text,true,,45098,181,1,6,https://dummyjson.com/products,248,0,162
1782664838097,134,Login Request,200,OK,Login Users 1-19,text,true,,5249,259,2,6,https://quickpizza.grafana.com/login,134,0,0
1782664837777,478,Login Request,200,OK,Shopping 4-15,text,true,,2812,290,3,6,https://dummyjson.com/auth/login,478,0,159
1782664838194,98,Products Request,200,OK,Products 2-20,text,true,,45094,181,1,6,https://dummyjson.com/products,83,0,0
1782664837919,409,Login Request,200,OK,Login Users 1-20,text,true,,5249,259,2,6,https://quickpizza.grafana.com/login,408,0,275
1782664838021,315,Checkout Request,200,OK,Shopping 4-14,text,true,,2022,218,3,6,https://dummyjson.com/carts/user/1,315,0,0
1782664838255,98,Products Request,200,OK,Shopping 4-15,text,true,,45102,565,3,6,https://dummyjson.com/products,82,0,0
1782664838231,135,Login Request,200,OK,Login Users 1-19,text,true,,5249,259,2,6,https://quickpizza.grafana.com/login,135,0,0
1782664838064,312,Cart Request,201,Created,Shopping 4-13,text,true,,1307,310,3,5,https://dummyjson.com/carts/add,312,0,0
1782664838292,96,Products Request,200,OK,Products 2-20,text,true,,45106,181,1,5,https://dummyjson.com/products,82,0,0
1782664838328,135,Login Request,200,OK,Login Users 1-20,text,true,,5249,259,1,5,https://quickpizza.grafana.com/login,135,0,0
1782664838388,99,Products Request,200,OK,Products 2-20,text,true,,45094,181,1,5,https://dummyjson.com/products,84,0,0
1782664838487,94,Products Request,200,OK,Products 2-20,text,true,,45114,181,1,5,https://dummyjson.com/products,79,0,0
1782664838463,130,Login Request,200,OK,Login Users 1-20,text,true,,5249,259,1,4,https://quickpizza.grafana.com/login,130,0,0
1782664838337,333,Login Request,200,OK,Shopping 4-14,text,true,,2816,292,3,4,https://dummyjson.com/auth/login,333,0,0
1782664838353,319,Cart Request,201,Created,Shopping 4-15,text,true,,1321,310,3,4,https://dummyjson.com/carts/add,318,0,0
1782664838376,318,Checkout Request,200,OK,Shopping 4-13,text,true,,2022,218,3,4,https://dummyjson.com/carts/user/1,318,0,0
1782664838594,134,Login Request,200,OK,Login Users 1-20,text,true,,5249,259,1,3,https://quickpizza.grafana.com/login,134,0,0
1782664838670,102,Products Request,200,OK,Shopping 4-14,text,true,,45102,565,2,3,https://dummyjson.com/products,86,0,0
1782664838729,130,Login Request,200,OK,Login Users 1-20,text,true,,5249,259,1,3,https://quickpizza.grafana.com/login,130,0,0
1782664838672,319,Checkout Request,200,OK,Shopping 4-15,text,true,,2018,218,2,2,https://dummyjson.com/carts/user/1,319,0,0
1782664838773,320,Cart Request,201,Created,Shopping 4-14,text,true,,1311,310,2,2,https://dummyjson.com/carts/add,320,0,0
1782664838991,319,Login Request,200,OK,Shopping 4-15,text,true,,2820,292,2,2,https://dummyjson.com/auth/login,319,0,0
1782664839310,98,Products Request,200,OK,Shopping 4-15,text,true,,45106,565,2,2,https://dummyjson.com/products,82,0,0
1782664839093,318,Checkout Request,200,OK,Shopping 4-14,text,true,,2022,218,2,2,https://dummyjson.com/carts/user/1,318,0,0
1782664839408,316,Cart Request,201,Created,Shopping 4-15,text,true,,1313,310,1,1,https://dummyjson.com/carts/add,316,0,0
1782664839724,313,Checkout Request,200,OK,Shopping 4-15,text,true,,2026,218,1,1,https://dummyjson.com/carts/user/1,313,0,0
